model,score,reference,reference_score,fold_mean,reference_fold_mean,delta,delta_sd,folds_won,folds,reliable,p_value,significant,fit_time_ratio
gradient boosting,0.9653663396044293,ridge on log(y),0.9929443287365801,0.9616277896982485,0.9912885268955819,-0.029660737197333354,0.013307042464843797,0,5,True,0.04106552654151509,True,7.270660185518543
neural network (MLP),0.9306915588621028,ridge on log(y),0.9929443287365801,0.9424985350990273,0.9912885268955819,-0.0487899917965545,0.041634156195481636,0,5,True,0.1932041519015136,False,5.605059338524889
