feature_set,n_features,ridge_log_poly3,random_forest_raw
none (6 raw columns),119,0.9993586990542791,0.9539407679349887
default (2 derived),219,0.9992787279512527,0.9570976005733038
independent only,209,0.9992895358106907,0.9535721849978478
all (8 derived),799,0.9996262823411804,0.9652507140633851
