model,spearman,norm_gini,top_decile_capture,decile_mape,mae_raw,r2_raw,r2_log,rmse_log
gradient boosting,0.9653663396044293,0.971209414003255,0.3631824795571979,0.04204102118934471,166.1510025732576,0.7801610004083939,,
neural network (MLP),0.9306915588621028,0.9574069589950016,0.35687687622207087,0.16905284340790144,198.7816634342037,0.745517770349259,0.6763920066256204,0.48813198769797767
